Quote	Notes
I do not fear computers. I fear lack of them.   -- Isaac Asimov	http://www.devtopics.com/101-more-great-computer-quotes/
A computer once beat me at chess, but it was no match for me at kick boxing.   -- Emo Philips	http://www.devtopics.com/101-more-great-computer-quotes/
Computer Science is no more about computers than astronomy is about telescopes.   -- Edsger W. Dijkstra	http://www.devtopics.com/101-more-great-computer-quotes/
The computer was born to solve problems that did not exist before.   -- Bill Gates	http://www.devtopics.com/101-more-great-computer-quotes/
Software is like entropy: It is difficult to grasp, weighs nothing, and obeys the Second Law of Thermodynamics; i.e., it always increases.   -- Norman Augustine	http://www.devtopics.com/101-more-great-computer-quotes/
Software is a gas; it expands to fill its container.   -- Nathan Myhrvold	http://www.devtopics.com/101-more-great-computer-quotes/
All parts should go together without forcing.  You must remember that the parts you are reassembling were disassembled by you.  Therefore, if you can’t get them together again, there must be a reason.  By all means, do not use a hammer.   -- IBM Manual, 1925	http://www.devtopics.com/101-more-great-computer-quotes/
Standards are always out of date.  That’s what makes them standards.   -- Alan Bennett	http://www.devtopics.com/101-more-great-computer-quotes/
Physics is the universe’s operating system.   -- Steven R Garman	http://www.devtopics.com/101-more-great-computer-quotes/
It’s hardware that makes a machine fast.  It’s software that makes a fast machine slow.   -- Craig Bruce	http://www.devtopics.com/101-more-great-computer-quotes/
Imagination is more important than knowledge.  For knowledge is limited, whereas imagination embraces the entire world, stimulating progress, giving birth to evolution.   -- Albert Einstein	http://www.devtopics.com/101-more-great-computer-quotes/
The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge.   -- Stephen Hawking	http://www.devtopics.com/101-more-great-computer-quotes/
The more you know, the more you realize you know nothing.   -- Socrates	http://www.devtopics.com/101-more-great-computer-quotes/
Tell me and I forget.  Teach me and I remember.  Involve me and I learn.   -- Benjamin Franklin	http://www.devtopics.com/101-more-great-computer-quotes/
Real knowledge is to know the extent of one’s ignorance.   -- Confucius	http://www.devtopics.com/101-more-great-computer-quotes/
If people never did silly things, nothing intelligent would ever get done.   -- Ludwig Wittgenstein	http://www.devtopics.com/101-more-great-computer-quotes/
Getting information off the Internet is like taking a drink from a fire hydrant.   -- Mitchell Kapor	http://www.devtopics.com/101-more-great-computer-quotes/
If you think your users are idiots, only idiots will use it.   -- Linus Torvalds	http://www.devtopics.com/101-more-great-computer-quotes/
From a programmer’s point of view, the user is a peripheral that types when you issue a read request.   -- P. Williams	http://www.devtopics.com/101-more-great-computer-quotes/
Where is the ‘any’ key?   -- Homer Simpson, in response to the message, Press any key	http://www.devtopics.com/101-more-great-computer-quotes/
Computers are good at following instructions, but not at reading your mind.   -- Donald Knuth	http://www.devtopics.com/101-more-great-computer-quotes/
There is only one problem with common sense; it’s not very common.   -- Milt Bryce	http://www.devtopics.com/101-more-great-computer-quotes/
Your most unhappy customers are your greatest source of learning.   -- Bill Gates	http://www.devtopics.com/101-more-great-computer-quotes/
Let us change our traditional attitude to the construction of programs: Instead of imagining that our main task is to instruct a computer what to do, let us concentrate rather on explaining to human beings what we want a computer to do.   -- Donald E. Knuth	http://www.devtopics.com/101-more-great-computer-quotes/
The Internet?  We are not interested in it.   -- Bill Gates, 1993	http://www.devtopics.com/101-more-great-computer-quotes/
The best way to get accurate information on Usenet is to post something wrong and wait for corrections.   -- Matthew Austern	http://www.devtopics.com/101-more-great-computer-quotes/
The most likely way for the world to be destroyed, most experts agree, is by accident.  That’s where we come in; we’re computer professionals.  We cause accidents.   -- Nathaniel Borenstein	http://www.devtopics.com/101-more-great-computer-quotes/
Pessimists, we’re told, look at a glass containing 50% air and 50% water and see it as half empty.  Optimists, in contrast, see it as half full.  Engineers, of course, understand the glass is twice as big as it needs to be.   -- Bob Lewis	http://www.devtopics.com/101-more-great-computer-quotes/
In a room full of top software designers, if two agree on the same thing, that’s a majority.   -- Bill Curtis	http://www.devtopics.com/101-more-great-computer-quotes/
It should be noted that no ethically-trained software engineer would ever consent to write a DestroyBaghdad procedure.  Basic professional ethics would instead require him to write a DestroyCity procedure, to which Baghdad could be given as a parameter.   -- Nathaniel S. Borenstein	http://www.devtopics.com/101-more-great-computer-quotes/
